iso3,year_id,indicator_code,value,obs_status,loaded_at
BGD,2016,NY.GDP.PCAP.CD,1649.283809,,2026-04-20 18:33:21
BGD,2015,NY.GDP.PCAP.CD,1224.386477,,2026-04-20 18:33:21
BGD,2014,NY.GDP.PCAP.CD,1094.461997,,2026-04-20 18:33:21
BRB,2023,NY.GDP.PCAP.CD,25583.878783,,2026-04-20 18:33:21
BRB,2022,NY.GDP.PCAP.CD,24387.038729,,2026-04-20 18:33:21
BRB,2021,NY.GDP.PCAP.CD,21079.614527,,2026-04-20 18:33:21
BRB,2020,NY.GDP.PCAP.CD,19194.491974,,2026-04-20 18:33:21
BRB,2019,NY.GDP.PCAP.CD,21912.150124,,2026-04-20 18:33:21
BRB,2018,NY.GDP.PCAP.CD,21381.24263,,2026-04-20 18:33:21
BRB,2017,NY.GDP.PCAP.CD,20284.576205,,2026-04-20 18:33:21
BRB,2016,NY.GDP.PCAP.CD,20295.567207,,2026-04-20 18:33:21
BRB,2015,NY.GDP.PCAP.CD,20424.208753,,2026-04-20 18:33:21
BRB,2014,NY.GDP.PCAP.CD,20192.708408,,2026-04-20 18:33:21
BLR,2023,NY.GDP.PCAP.CD,7896.753883,,2026-04-20 18:33:21
BLR,2022,NY.GDP.PCAP.CD,7994.648061,,2026-04-20 18:33:21
BLR,2021,NY.GDP.PCAP.CD,7489.718947,,2026-04-20 18:33:21
BLR,2020,NY.GDP.PCAP.CD,6542.8558,,2026-04-20 18:33:21
BLR,2019,NY.GDP.PCAP.CD,6837.773396,,2026-04-20 18:33:21
BLR,2018,NY.GDP.PCAP.CD,6360.037502,,2026-04-20 18:33:21
BLR,2017,NY.GDP.PCAP.CD,5785.544919,,2026-04-20 18:33:21
BLR,2016,NY.GDP.PCAP.CD,5039.775609,,2026-04-20 18:33:21
BLR,2015,NY.GDP.PCAP.CD,5967.055951,,2026-04-20 18:33:21
BLR,2014,NY.GDP.PCAP.CD,8341.318093,,2026-04-20 18:33:21
BEL,2023,NY.GDP.PCAP.CD,55291.475454,,2026-04-20 18:33:21
BEL,2022,NY.GDP.PCAP.CD,50605.749668,,2026-04-20 18:33:21
BEL,2021,NY.GDP.PCAP.CD,51658.238295,,2026-04-20 18:33:21
BEL,2020,NY.GDP.PCAP.CD,45906.287581,,2026-04-20 18:33:21
BEL,2019,NY.GDP.PCAP.CD,46716.622747,,2026-04-20 18:33:21
BEL,2018,NY.GDP.PCAP.CD,47487.210039,,2026-04-20 18:33:21
BEL,2017,NY.GDP.PCAP.CD,44035.323936,,2026-04-20 18:33:21
BEL,2016,NY.GDP.PCAP.CD,41854.54983,,2026-04-20 18:33:21
BEL,2015,NY.GDP.PCAP.CD,40893.804538,,2026-04-20 18:33:21
BEL,2014,NY.GDP.PCAP.CD,47995.778696,,2026-04-20 18:33:21
BLZ,2023,NY.GDP.PCAP.CD,7424.758213,,2026-04-20 18:33:21
BLZ,2022,NY.GDP.PCAP.CD,7068.21728,,2026-04-20 18:33:21
BLZ,2021,NY.GDP.PCAP.CD,6142.989306,,2026-04-20 18:33:21
BLZ,2020,NY.GDP.PCAP.CD,5238.540782,,2026-04-20 18:33:21
BLZ,2019,NY.GDP.PCAP.CD,6171.614498,,2026-04-20 18:33:21
