iso2;year_id;anchor_term;interest_raw
LK;2022;amazon;1316.0
LK;2023;amazon;1356.0
LR;2019;amazon;1652.0
LR;2020;amazon;1585.0
LR;2021;amazon;1290.0
LR;2022;amazon;1323.0
LR;2023;amazon;1343.0
LS;2019;amazon;470.0
LS;2020;amazon;204.0
LS;2021;amazon;207.0
LS;2022;amazon;456.0
LS;2023;amazon;359.0
LT;2019;amazon;2358.0
LT;2020;amazon;2464.0
LT;2021;amazon;2291.0
LT;2022;amazon;2664.0
LT;2023;amazon;2635.0
LU;2019;amazon;2849.0
LU;2020;amazon;3519.0
LU;2021;amazon;3067.0
LU;2022;amazon;3343.0
LU;2023;amazon;3605.0
LV;2019;amazon;2883.0
LV;2020;amazon;2938.0
LV;2021;amazon;2888.0
LV;2022;amazon;3332.0
LV;2023;amazon;3524.0
LY;2019;amazon;2451.0
LY;2020;amazon;1890.0
LY;2021;amazon;1755.0
LY;2022;amazon;1526.0
LY;2023;amazon;1346.0
MA;2019;amazon;2890.0
MA;2020;amazon;3139.0
MA;2021;amazon;3326.0
MA;2022;amazon;3692.0
MA;2023;amazon;3736.0
MC;2019;amazon;1462.0
MC;2020;amazon;0.0
MC;2021;amazon;0.0
MC;2022;amazon;0.0
MC;2023;amazon;0.0
MD;2019;amazon;3561.0
MD;2020;amazon;3214.0
MD;2021;amazon;3109.0
MD;2022;amazon;3631.0
MD;2023;amazon;3776.0
ME;2019;amazon;1984.0
ME;2020;amazon;1508.0
ME;2021;amazon;1598.0
ME;2022;amazon;1962.0
ME;2023;amazon;2320.0
MF;2019;amazon;1655.0
MF;2020;amazon;2119.0
MF;2021;amazon;2511.0
MF;2022;amazon;2821.0
MF;2023;amazon;2818.0
MG;2019;amazon;2339.0
MG;2020;amazon;2569.0
MG;2021;amazon;2563.0
MG;2022;amazon;2516.0
MG;2023;amazon;2714.0
MH;2019;amazon;74.0
MH;2020;amazon;248.0
MH;2021;amazon;246.0
MH;2022;amazon;54.0
MH;2023;amazon;132.0
MK;2019;amazon;2313.0
MK;2020;amazon;2097.0
MK;2021;amazon;1987.0
MK;2022;amazon;2287.0
MK;2023;amazon;2370.0
ML;2019;amazon;3519.0
ML;2020;amazon;3520.0
ML;2021;amazon;2972.0
ML;2022;amazon;2782.0
ML;2023;amazon;2399.0
MM;2019;amazon;2677.0
MM;2020;amazon;2325.0
MM;2021;amazon;1652.0
MM;2022;amazon;1735.0
MM;2023;amazon;1362.0
MN;2019;amazon;4024.0
MN;2020;amazon;3675.0
MN;2021;amazon;2763.0
MN;2022;amazon;3036.0
MN;2023;amazon;2870.0
MO;2019;amazon;2155.0
MO;2020;amazon;2212.0
MO;2021;amazon;1605.0
MO;2022;amazon;1724.0
MO;2023;amazon;1461.0
MP;2019;amazon;2371.0
MP;2020;amazon;3096.0
MP;2021;amazon;3003.0
MP;2022;amazon;2747.0
MP;2023;amazon;2810.0
MR;2019;amazon;1853.0
MR;2020;amazon;2679.0
MR;2021;amazon;3163.0
MR;2022;amazon;2806.0
MR;2023;amazon;3460.0
MT;2019;amazon;2771.0
MT;2020;amazon;3139.0
MT;2021;amazon;2669.0
MT;2022;amazon;2608.0
MT;2023;amazon;2494.0
MU;2019;amazon;1905.0
MU;2020;amazon;1495.0
MU;2021;amazon;1458.0
MU;2022;amazon;1947.0
MU;2023;amazon;2007.0
MV;2019;amazon;1749.0
MV;2020;amazon;1716.0
MV;2021;amazon;1920.0
MV;2022;amazon;2058.0
MV;2023;amazon;1963.0
MW;2019;amazon;3750.0
MW;2020;amazon;3624.0
MW;2021;amazon;2838.0
MW;2022;amazon;2748.0
MW;2023;amazon;2642.0
MX;2019;amazon;2843.0
MX;2020;amazon;3911.0
MX;2021;amazon;3435.0
MX;2022;amazon;3565.0
MX;2023;amazon;3844.0
MY;2019;amazon;2334.0
MY;2020;amazon;2245.0
MY;2021;amazon;1911.0
MY;2022;amazon;1770.0
MY;2023;amazon;1807.0
MZ;2019;amazon;2917.0
MZ;2020;amazon;3188.0
MZ;2021;amazon;3187.0
MZ;2022;amazon;3194.0
MZ;2023;amazon;3326.0
NA;2019;amazon;2316.0
NA;2020;amazon;1789.0
NA;2021;amazon;1876.0
NA;2022;amazon;2102.0
NA;2023;amazon;2112.0
NC;2019;amazon;3592.0
NC;2020;amazon;3022.0
NC;2021;amazon;2689.0
NC;2022;amazon;3014.0
NC;2023;amazon;3019.0
NE;2019;amazon;1902.0
NE;2020;amazon;1687.0
NE;2021;amazon;1712.0
NE;2022;amazon;2051.0
NE;2023;amazon;1606.0
